Word,Frequency,Abc Hash,Qwerty Hash,As name
воображении,79,14415122433,45585462288,0,0.0
воображению,11,14415122438,45585462288,0,0.0
воображения,46,14415122438,45585462287,0,0.0
воображенье,3,14415122482,45585462282,0,0.0
вообразив,3,144151231,455854384,0,0.0
вообразил,5,144151233,455854386,0,0.0
вообразите,4,1441512352,4558543882,0,0.0
вообразить,18,1441512358,4558543888,0,0.0
вообще,274,144172,455832,6,0.021897810218978103
воодушевить,4,14425721358,45561324888,0,0.0
воодушевления,3,1442572132438,4556132462287,0,0.0
воодушевленные,4,14425721324472,45561324622242,0,0.0
воодушевленный,2,14425721324473,45561324622241,0,0.0
воодушевляющие,2,14425721388732,45561324678382,0,0.0
воодушевляясь,5,1442572138858,4556132467778,0,0.0
вооруж,5,144552,455516,0,0.0
вооружался,2,1445521358,4555164677,0,0.0
вооружен,3,14455224,45551622,0,0.0
вооружение,7,1445522432,4555162282,0,0.0
вооружением,2,14455224324,45551622827,0,0.0
вооружении,2,1445522433,4555162288,0,0.0
вооружений,38,1445522433,4555162281,0,0.0
вооружения,8,1445522438,4555162287,0,0.0
вооружениями,2,144552243843,455516228778,0,0.0
вооруженная,2,14455224418,45551622247,0,0.0
вооруженного,2,144552244414,455516222525,0,0.0
вооруженной,2,14455224443,45551622251,0,0.0
вооруженном,2,14455224444,45551622257,0,0.0
вооруженный,3,14455224473,45551622241,0,0.0
вооруженными,2,144552244743,455516222478,0,0.0
вооруженных,3,14455224476,45551622243,1,0.3333333333333333
вооружены,5,144552247,455516224,0,0.0
вооружил,2,14455233,45551686,0,0.0
вопли,3,14433,45568,0,0.0
воплотить,4,144345358,455658888,0,0.0
воплощ,2,144347,455653,0,0.0
воплощение,9,1443472432,4556532282,0,0.0
воплощением,3,14434724324,45565322827,0,0.0
воплощения,2,1443472438,4556532287,0,0.0
воплощены,2,144347247,455653224,0,0.0
вопль,7,14438,45568,0,0.0
вопреки,31,1445233,4555218,2,0.06451612903225806
вопрос,466,144545,455557,5,0.01072961373390558
вопроса,105,1445451,4555574,0,0.0
вопросам,15,14454514,45555747,0,0.0
вопросами,20,144545143,455557478,0,0.0
вопросах,29,14454516,45555743,0,0.0
вопросе,30,1445452,4555572,0,0.0
вопросительно,85,1445453523844,4555578826825,0,0.0
вопросительные,2,14454535238472,45555788268242,0,0.0
вопросительный,9,14454535238473,45555788268241,0,0.0
вопросительным,5,14454535238474,45555788268247,0,0.0
вопросов,67,14454541,45555754,0,0.0
вопросом,59,14454544,45555757,0,0.0
вопросу,21,1445455,4555571,0,0.0
вопросы,194,1445457,4555574,4,0.020618556701030927
вопрошает,3,144547125,455553428,0,0.0
вор,13,145,455,0,0.0
вора,3,1451,4554,0,0.0
ворвались,3,145113358,455446878,0,0.0
ворвался,5,14511358,45544677,0,0.0
ворваться,2,145115858,455448877,0,0.0
воробьев,4,14541821,45558824,2,0.5
воробьеву,3,145418215,455588241,3,1.0
воробьевы,5,145418217,455588244,2,0.4
воробьевых,3,1454182176,4555882443,3,1.0
воробьи,4,1454183,4555888,0,0.0
воров,10,14541,45554,0,0.0
воровать,4,14541158,45554488,0,0.0
воровка,3,1454131,4555414,0,0.0
воровства,2,145415511,455547844,0,0.0
воровство,17,145415514,455547845,1,0.058823529411764705
ворожить,2,14542358,45556888,0,0.0
ворон,12,14544,45552,8,0.6666666666666666
ворона,16,145441,455524,9,0.5625
воронеж,14,1454422,4555226,8,0.5714285714285714
воронежа,6,14544221,45552264,6,1.0
воронеже,18,14544222,45552262,14,0.7777777777777778
воронки,4,1454433,4555218,2,0.5
воронкой,2,14544343,45552151,0,0.0
воронку,3,1454435,4555211,0,0.0
вороного,2,14544414,45552525,0,0.0
вороной,7,1454443,4555251,0,0.0
воронок,4,1454443,4555251,0,0.0
вороном,4,1454444,4555257,0,0.0
воронский,2,145445333,455527181,0,0.0
воронцова,2,145446411,455521544,2,1.0
вороны,2,145447,455524,0,0.0
вороные,2,1454472,4555242,0,0.0
вороными,2,14544743,45552478,0,0.0
вороных,4,1454476,4555243,0,0.0
вороньев,2,14544821,45552824,0,0.0
воропаев,2,14544121,45555424,2,1.0
ворот,58,14545,45558,0,0.0
ворота,56,145451,455584,1,0.017857142857142856
воротам,20,1454514,4555847,0,0.0
воротами,11,14545143,45558478,0,0.0
воротах,17,1454516,4555843,0,0.0
вороте,2,145452,455582,0,0.0
воротит,3,1454535,4555888,0,0.0
воротить,10,14545358,45558888,4,0.4
воротиться,2,1454535858,4555888877,0,0.0
воротишь,2,14545378,45558838,0,0.0
воротник,14,14545433,45558281,0,0.0
воротника,7,145454331,455582814,0,0.0
воротниками,3,14545433143,45558281478,0,0.0
воротниках,3,1454543316,4555828143,0,0.0
воротником,12,1454543344,4555828157,0,0.0
воротнички,5,1454543633,4555828718,0,0.0
воротничков,6,14545436341,45558287154,0,0.0
воротом,4,1454544,4555857,0,0.0
ворочалась,2,1454613158,4555746478,0,0.0
ворочался,5,145461358,455574677,0,0.0
ворочать,3,14546158,45557488,0,0.0
ворочаюсь,2,145461858,455574878,0,0.0
ворошить,2,14547358,45553888,0,0.0
вору,2,1455,4551,0,0.0
ворчал,5,145613,455746,0,0.0
ворчала,6,1456131,4557464,0,0.0
ворчать,5,1456158,4557488,0,0.0
ворчит,3,145635,455788,0,0.0
ворчливо,4,14563314,45576845,0,0.0
ворчливой,2,145633143,455768451,0,0.0
ворчливости,2,14563314553,45576845788,0,0.0
ворчливый,2,145633173,455768441,0,0.0
ворчъами,4,14567143,45573478,3,0.75
воры,5,1457,4554,0,0.0
восвояси,5,14514853,45745778,0,0.0
восемнадцати,11,145244126153,457272461488,0,0.0
восемнадцатого,2,14524412615414,45727246148525,0,0.0
восемнадцатом,2,1452441261544,4572724614857,0,0.0
восемнадцать,13,145244126158,457272461488,0,0.0
восемь,90,145248,457278,3,0.03333333333333333
восемьдесят,27,14524822585,45727862778,1,0.037037037037037035
восемьсот,9,145248545,457278758,0,0.0
воск,6,1453,4571,0,0.0
воска,10,14531,45714,0,0.0
воскликнул,18,1453333453,4571681216,1,0.05555555555555555
воскликнула,12,14533334531,45716812164,0,0.0
восклицает,3,1453336125,4571681428,0,0.0
восклицала,2,1453336131,4571681464,0,0.0
восклицание,2,14533361432,45716814282,0,0.0
восклицания,8,14533361438,45716814287,0,0.0
восклицаниями,2,1453336143843,4571681428778,0,0.0
воскового,2,145341414,457154525,0,0.0
восковой,5,14534143,45715451,1,0.2
восковые,5,14534172,45715442,1,0.2
восковых,3,14534176,45715443,0,0.0
воскресал,3,145352513,457152746,0,0.0
воскресе,6,14535252,45715272,0,0.0
воскресение,23,14535252432,45715272282,2,0.08695652173913043
воскресением,8,145352524324,457152722827,0,0.0
воскресении,17,14535252433,45715272288,0,0.0
воскресению,5,14535252438,45715272288,0,0.0
воскресения,36,14535252438,45715272287,1,0.027777777777777776
воскресенье,39,14535252482,45715272282,2,0.05128205128205128
воскресенья,4,14535252488,45715272287,0,0.0
воскресеньям,7,145352524884,457152722877,0,0.0
воскресить,3,1453525358,4571527888,0,0.0
воскресну,3,145352545,457152721,0,0.0
воскресный,2,1453525473,4571527241,0,0.0
воскресши,2,145352573,457152738,0,0.0
воскрешайте,3,14535271352,45715234182,0,0.0
воспал,2,145413,457546,0,0.0
воспаленными,4,145413244743,457546222478,0,0.0
воспаленных,2,14541324476,45754622243,0,0.0
воспарила,2,145415331,457545864,0,0.0
воспетый,2,14542573,45752841,0,0.0
воспитал,2,14543513,45758846,0,0.0
воспитала,2,145435131,457588464,0,0.0
воспитали,2,145435133,457588468,0,0.0
воспитан,10,14543514,45758842,0,0.0
воспитана,4,145435141,457588424,0,0.0
воспитание,21,1454351432,4575884282,0,0.0
воспитанием,8,14543514324,45758842827,0,0.0
воспитании,4,1454351433,4575884288,0,0.0
воспитанию,4,1454351438,4575884288,0,0.0
воспитания,16,1454351438,4575884287,0,0.0
воспитанник,3,14543514433,45758842281,0,0.0
воспитанника,7,145435144331,457588422814,0,0.0
воспитанником,3,1454351443344,4575884228157,0,0.0
воспитанница,2,145435144361,457588422814,0,0.0
воспитанного,2,145435144414,457588422525,0,0.0
воспитанный,5,14543514473,45758842241,0,0.0
воспитаны,3,145435147,457588424,0,0.0
воспитателем,3,145435152324,457588482627,0,0.0
воспитатели,2,14543515233,45758848268,0,0.0
воспитатель,3,14543515238,45758848268,0,0.0
воспитательница,2,145435152384361,457588482682814,0,0.0
воспитательницы,2,145435152384367,457588482682814,0,0.0
воспитательную,2,14543515238458,45758848268218,0,0.0
воспитательный,7,14543515238473,45758848268241,2,0.2857142857142857
воспитательных,4,14543515238476,45758848268243,0,0.0
воспитывала,3,14543571131,45758844464,0,0.0
воспитывалась,2,1454357113158,4575884446478,0,0.0
воспитывали,2,14543571133,45758844468,0,0.0
воспитывались,3,1454357113358,4575884446878,0,0.0
воспитывался,3,145435711358,457588444677,0,0.0
воспитывать,7,14543571158,45758844488,0,0.0
воспитывают,2,14543571185,45758844488,0,0.0
воспламенения,3,1454314242438,4575647222287,0,0.0
восполнить,2,1454434358,4575562888,0,0.0
восполнять,2,1454434858,4575562788,0,0.0
воспользовавшись,3,1454438241117358,4575568354443878,0,0.0
воспользовались,5,145443824113358,457556835446878,0,0.0
воспользовался,23,14544382411358,45755683544677,0,0.0
воспользоваться,41,145443824115858,457556835448877,0,0.0
воспоминание,55,145444341432,457557824282,0,0.0
воспоминанием,25,1454443414324,4575578242827,0,0.0
воспоминании,21,145444341433,457557824288,0,0.0
воспоминаний,45,145444341433,457557824281,0,0.0
воспоминания,79,145444341438,457557824287,0,0.0
воспоминаниям,6,1454443414384,4575578242877,0,0.0
воспоминаниями,15,14544434143843,45755782428778,0,0.0
воспоминаниях,18,1454443414386,4575578242873,0,0.0
воспоминанья,2,145444341488,457557824287,0,0.0
воспрещено,2,1454527244,4575523225,0,0.0
восприимчив,2,14545334631,45755887784,0,0.0
воспринимавшиеся,2,1454534341173258,4575582874438277,0,0.0
воспринимаемую,3,14545343412458,45755828742718,0,0.0
воспринимаемые,2,14545343412472,45755828742742,0,0.0
воспринимаемый,5,14545343412473,45755828742741,0,0.0
воспринимаемыми,2,145453434124743,457558287427478,0,0.0
воспринимает,9,145453434125,457558287428,0,0.0
воспринимается,14,14545343412558,45755828742877,0,0.0
воспринимал,3,14545343413,45755828746,0,0.0
воспринимала,2,145453434131,457558287464,0,0.0
воспринимали,4,145453434133,457558287468,0,0.0
воспринимать,6,145453434158,457558287488,0,0.0
восприниматься,4,14545343415858,45755828748877,0,0.0
воспринимают,4,145453434185,457558287488,0,0.0
воспринимаются,6,14545343418558,45755828748877,0,0.0
воспринял,3,145453483,457558276,0,0.0
воспринят,2,145453485,457558278,0,0.0
воспринятая,3,14545348518,45755827847,0,0.0
восприняты,2,1454534857,4575582784,0,0.0
воспринять,5,1454534858,4575582788,0,0.0
восприятие,12,1454538532,4575587882,0,0.0
восприятием,2,14545385324,45755878827,0,0.0
восприятии,4,1454538533,4575587888,0,0.0
восприятию,5,1454538538,4575587888,0,0.0
восприятия,17,1454538538,4575587887,0,0.0
воспроизведение,3,145454321222432,457555834262282,0,0.0
воспроизведению,2,145454321222438,457555834262288,0,0.0
воспроизведения,2,145454321222438,457555834262287,0,0.0
воспроизвести,4,1454543212553,4575558342788,0,0.0
воспроизводит,2,1454543214235,4575558345688,0,0.0
воспроизводить,8,14545432142358,45755583456888,0,0.0
воспроизводство,3,145454321425514,457555834567845,0,0.0
воссоздает,2,1455422125,4577536428,0,0.0
воссоздана,2,1455422141,4577536424,0,0.0
восстававшей,2,145551111723,457784444321,0,0.0
восстававших,2,145551111736,457784444383,0,0.0
восставала,2,1455511131,4577844464,0,0.0
восстал,2,1455513,4577846,0,0.0
восстали,2,14555133,45778468,0,0.0
восстанавливался,2,1455514113311358,4577842446844677,0,0.0
восстанавливать,4,145551411331158,457784244684488,0,0.0
восстание,8,145551432,457784282,0,0.0
восстания,5,145551438,457784287,0,0.0
восстановив,2,14555144131,45778425484,0,0.0
восстановите,2,145551441352,457784254882,0,0.0
восстановить,23,145551441358,457784254888,0,0.0
восстановиться,2,14555144135858,45778425488877,0,0.0
восстановлен,2,145551441324,457784254622,0,0.0
восстановление,13,14555144132432,45778425462282,0,0.0
восстановления,6,14555144132438,45778425462287,0,0.0
восстановляется,3,145551441382558,457784254672877,0,0.0
восстановлял,2,145551441383,457784254676,0,0.0
восстановляя,6,145551441388,457784254677,0,0.0
воссылаю,2,14557318,45774648,0,0.0
воссылают,2,145573185,457746488,0,0.0
восток,55,145543,457851,13,0.23636363636363636
востока,36,1455431,4578514,6,0.16666666666666666
востоке,35,1455432,4578512,22,0.6285714285714286
востоку,8,1455435,4578511,2,0.25
восторг,31,1455451,4578552,0,0.0
восторга,32,14554511,45785524,0,0.0
восторгался,2,14554511358,45785524677,0,0.0
восторгам,2,145545114,457855247,1,0.5
восторгами,2,1455451143,4578552478,0,0.0
восторге,14,14554512,45785522,0,0.0
восторгов,4,145545141,457855254,0,0.0
восторгом,27,145545144,457855257,0,0.0
восторгу,2,14554515,45785521,0,0.0
восторженная,3,145545224418,457855622247,0,0.0
восторженно,29,14554522444,45785562225,0,0.0
восторженного,2,1455452244414,4578556222525,0,0.0
восторженное,12,145545224442,457855622252,0,0.0
восторженной,10,145545224443,457855622251,0,0.0
восторженном,2,145545224444,457855622257,0,0.0
восторженность,2,14554522444558,45785562225788,0,0.0
восторженностью,3,145545224445588,457855622257888,0,0.0
восторженною,4,145545224448,457855622258,0,0.0
восторженную,4,145545224458,457855622218,0,0.0
восторженные,9,145545224472,457855622242,0,0.0
восторженный,10,145545224473,457855622241,0,0.0
восторженным,4,145545224474,457855622247,0,0.0
восторженными,11,1455452244743,4578556222478,0,0.0
восторжествовало,3,1455452255141134,4578556278454465,0,0.0
восточная,4,145546418,457857247,0,0.0
восточного,5,1455464414,4578572525,1,0.2
восточной,12,145546443,457857251,1,0.08333333333333333
восточном,5,145546444,457857257,2,0.4
восточную,3,145546458,457857218,0,0.0
восточные,3,145546472,457857242,1,0.3333333333333333
восточный,5,145546473,457857241,2,0.4
восточным,9,145546474,457857247,1,0.1111111111111111
восточными,3,1455464743,4578572478,1,0.3333333333333333
восточных,7,145546476,457857243,5,0.7142857142857143
востроносенький,2,145554445248333,457855257228181,0,0.0
вострубил,5,145555133,457851886,0,0.0
вострым,2,1455574,4578547,0,0.0
восхвалить,2,1456113358,4573446888,0,0.0
восхваляемом,2,145611382444,457344672757,0,0.0
восхваляя,2,145611388,457344677,0,0.0
восхитительна,2,1456353523841,4573888826824,0,0.0
восхитительно,4,1456353523844,4573888826825,0,0.0
восхитительный,2,14563535238473,45738888268241,0,0.0
восхитятся,2,1456358558,4573887877,0,0.0
восхищ,3,145637,457383,0,0.0
восхищалась,11,14563713158,45738346478,0,0.0
восхищались,9,14563713358,45738346878,0,0.0
восхищало,2,145637134,457383465,0,0.0
восхищался,10,1456371358,4573834677,0,0.0
восхищаться,5,14563715858,45738348877,0,0.0
восхищаюсь,2,1456371858,4573834878,0,0.0
восхищаясь,2,1456371858,4573834778,0,0.0
восхищен,2,14563724,45738322,0,0.0
восхищение,7,1456372432,4573832282,0,0.0
восхищением,2,14563724324,45738322827,0,0.0
восхищении,7,1456372433,4573832288,0,0.0
восхищения,9,1456372438,4573832287,0,0.0
восхищенно,4,1456372444,4573832225,0,0.0
восхищенным,5,14563724474,45738322247,0,0.0
восхищенными,2,145637244743,457383222478,0,0.0
восход,4,145642,457356,0,0.0
восхода,2,1456421,4573564,0,0.0
восходе,2,1456422,4573562,0,0.0
восходит,6,14564235,45735688,0,0.0
восходом,4,14564244,45735657,0,0.0
восходя,2,1456428,4573567,0,0.0
восходят,3,14564285,45735678,0,0.0
восходящий,4,1456428733,4573567381,0,0.0
восхождения,2,14564222438,45735662287,0,0.0
восьмая,7,1458418,4578747,2,0.2857142857142857
восьми,29,145843,457878,0,0.0
восьмидесяти,7,145843225853,457878627788,0,0.0
восьмидесятые,8,1458432258572,4578786277842,0,0.0
восьмидесятым,2,1458432258574,4578786277847,0,0.0
восьмидесятых,18,1458432258576,4578786277843,0,0.0
восьмилетний,3,145843325433,457878628281,0,0.0
восьмого,10,14584414,45787525,2,0.2
восьмой,10,1458443,4578751,1,0.1
восьмом,7,1458444,4578757,0,0.0
восьмому,2,14584445,45787571,1,0.5
восьмые,2,1458472,4578742,0,0.0
вот,1936,145,458,262,0.1353305785123967
воткнув,3,1453451,4581214,0,0.0
вотчина,2,1456341,4587824,2,1.0
вотчинного,2,1456344414,4587822525,0,0.0
вотчины,3,1456347,4587824,0,0.0
воцарившейся,2,146153172358,451458432177,0,0.0
воцарилась,3,1461533158,4514586478,0,0.0
воцарилось,4,1461533458,4514586578,1,0.25
вош,5,147,453,0,0.0
вошедшая,8,14722718,45326347,0,0.0
вошедшего,9,147227214,453263225,0,0.0
вошедшей,3,14722723,45326321,0,0.0
вошедшему,9,147227245,453263271,0,0.0
вошедшие,6,14722732,45326382,0,0.0
вошедший,10,14722733,45326381,0,0.0
вошедшим,2,14722734,45326387,0,0.0
вошедших,10,14722736,45326383,0,0.0
вошедшую,4,14722758,45326318,0,0.0
вошел,272,14723,45326,0,0.0
вошла,96,14731,45364,0,0.0
вошли,94,14733,45368,1,0.010638297872340425
вошло,9,14734,45365,0,0.0
воюем,4,14824,45827,0,0.0
воют,2,1485,4588,0,0.0
впадает,4,1412125,4546428,0,0.0
впадал,4,141213,454646,0,0.0
впадают,2,1412185,4546488,0,0.0
впадая,2,141218,454647,0,0.0
впал,7,1413,4546,0,0.0
впала,2,14131,45464,0,0.0
впали,2,14133,45468,0,0.0
впалые,2,141372,454642,0,0.0
впасть,4,141558,454788,0,0.0
впер,35,1425,4525,0,0.0
впервые,117,1425172,4525442,6,0.05128205128205128
вперед,417,142522,452526,0,0.0
впереди,263,1425223,4525268,6,0.022813688212927757
вперемешку,4,1425242735,4525272311,1,0.25
вперив,2,142531,452584,0,0.0
впечатление,95,14261532432,45274862282,1,0.010526315789473684
впечатлением,10,142615324324,452748622827,0,0.0
впечатлении,2,14261532433,45274862288,0,0.0
впечатлений,22,14261532433,45274862281,0,0.0
впечатлению,6,14261532438,45274862288,0,0.0
впечатления,36,14261532438,45274862287,2,0.05555555555555555
впечатлениями,4,1426153243843,4527486228778,0,0.0
впечатлительности,2,14261533523844553,45274868826825788,0,0.0
впечатляет,2,1426153825,4527486728,0,0.0
впечатляют,4,1426153885,4527486788,0,0.0
впечатляюще,5,14261538872,45274867832,0,0.0
впечатляющи,3,14261538873,45274867838,0,0.0
впечатляющие,2,142615388732,452748678382,0,0.0
впечатляющий,2,142615388733,452748678381,0,0.0
впечатляющих,2,142615388736,452748678383,0,0.0
впивании,2,14311433,45844288,0,0.0
впивающейся,2,14311872358,45844832177,0,0.0
впиваясь,2,14311858,45844778,0,0.0
впились,2,1433358,4586878,0,0.0
вписывается,4,14357112558,45874442877,0,0.0
впитывал,3,14357113,45884446,0,0.0
впитывание,6,1435711432,4588444282,0,0.0
впитывания,2,1435711438,4588444287,0,0.0
впитываться,2,14357115858,45884448877,0,0.0
впитывающей,2,14357118723,45884448321,0,0.0
впитывающиеся,2,1435711873258,4588444838277,0,0.0
впитывающим,3,14357118734,45884448387,0,0.0
впитывая,2,14357118,45884447,0,0.0
вплетается,2,1432512558,4562842877,0,0.0
вплотную,10,14345458,45658218,0,0.0
вплоть,38,143458,456588,0,0.0
вповалку,2,14411335,45544611,0,0.0
вполголоса,7,1443143451,4556256574,0,0.0
вполне,293,144342,455622,7,0.023890784982935155
вполуоборот,4,14435414545,45561585558,0,0.0
впору,3,14455,45551,0,0.0
впоследствии,73,144532255133,455762678488,2,0.0273972602739726
вправду,3,1451125,4554461,0,0.0
вправе,22,145112,455442,0,0.0
вправо,30,145114,455445,2,0.06666666666666667
впредь,10,145228,455268,0,0.0
впросонках,2,1454544316,4555752143,0,0.0
впрочем,189,1454624,4555727,29,0.15343915343915343
впрямь,3,145848,455778,0,0.0
впускать,2,14553158,45171488,0,0.0
впустил,2,1455533,4517886,0,0.0
впустили,5,14555333,45178868,0,0.0
впустить,3,14555358,45178888,0,0.0
впустую,3,1455558,4517818,0,0.0
впятером,2,14852544,45782557,0,0.0
вр,2,15,45,0,0.0
враг,29,1511,4542,1,0.034482758620689655
врага,66,15111,45424,0,0.0
врагам,11,151114,454247,0,0.0
врагами,5,1511143,4542478,0,0.0
враги,21,15113,45428,0,0.0
врагов,28,151141,454254,0,0.0
врагом,13,151144,454257,0,0.0
врагу,10,15115,45421,0,0.0
вражда,2,151221,454664,0,0.0
враждебна,2,151222141,454662824,0,0.0
враждебная,2,1512221418,4546628247,0,0.0
враждебно,13,151222144,454662825,0,0.0
враждебного,6,15122214414,45466282525,0,0.0
враждебное,13,1512221442,4546628252,0,0.0
враждебной,6,1512221443,4546628251,0,0.0
враждебном,7,1512221444,4546628257,0,0.0
враждебности,9,151222144553,454662825788,0,0.0
враждебность,8,151222144558,454662825788,0,0.0
враждебны,2,151222147,454662824,0,0.0
враждебные,7,1512221472,4546628242,0,0.0
враждебный,3,1512221473,4546628241,1,0.3333333333333333
враждебным,2,1512221474,4546628247,0,0.0
враждебными,4,15122214743,45466282478,0,0.0
враждебных,5,1512221476,4546628243,0,0.0
враждующих,2,1512258736,4546618383,0,0.0
вражды,4,151227,454664,0,0.0
вражеские,2,151225332,454627182,0,0.0
вражеский,2,151225333,454627181,0,0.0
вражке,3,151232,454612,3,1.0
враз,6,1512,4543,0,0.0
врал,9,1513,4546,1,0.1111111111111111
враль,2,15138,45468,0,0.0
врангель,2,15141238,45422268,1,0.5
врангеля,3,15141238,45422267,1,0.3333333333333333
вранье,5,151482,454282,0,0.0
вранья,2,151488,454287,0,0.0
врасплох,13,15154346,45475653,0,0.0
врассыпную,2,1515574458,4547745218,0,0.0
врата,6,15151,45484,2,0.3333333333333333
вратам,2,151514,454847,0,0.0
врать,13,15158,45488,0,0.0
врач,29,1516,4547,1,0.034482758620689655
врача,11,15161,45474,0,0.0
врачебного,3,1516214414,4547282525,0,0.0
врачей,10,151623,454721,0,0.0
врачи,12,15163,45478,1,0.08333333333333333
врачом,7,151644,454757,1,0.14285714285714285
врачу,5,15165,45471,0,0.0
вращает,2,1517125,4543428,0,0.0
вращается,6,151712558,454342877,0,0.0
вращалась,3,151713158,454346478,0,0.0
вращающаяся,2,15171871858,45434834777,0,0.0
вращающейся,2,15171872358,45434832177,0,0.0
вращаясь,2,15171858,45434778,0,0.0
вращение,4,15172432,45432282,0,0.0
вращения,4,15172438,45432287,0,0.0
вред,14,1522,4526,0,0.0
вреда,20,15221,45264,0,0.0
вреде,3,15222,45262,0,0.0
вредителей,4,1522352323,4526882621,0,0.0
вредителями,2,15223523843,45268826778,0,0.0
вредить,2,1522358,4526888,0,0.0
вредна,7,152241,452624,0,0.0
вредная,2,1522418,4526247,0,0.0
вредно,9,152244,452625,0,0.0
вредного,4,15224414,45262525,0,0.0
вредное,6,1522442,4526252,0,0.0
вредной,4,1522443,4526251,0,0.0
вредны,5,152247,452624,0,0.0
вредные,7,1522472,4526242,0,0.0
вредный,4,1522473,4526241,0,0.0
вредным,5,1522474,4526247,0,0.0
вредными,2,15224743,45262478,0,0.0
вредных,6,1522476,4526243,0,0.0
вредоносным,2,15224445474,45265257247,0,0.0
вредоносных,2,15224445476,45265257243,0,0.0
вредящий,5,15228733,45267381,0,0.0
врезался,2,15221358,45234677,0,0.0
врем,12,1524,4527,0,0.0
времен,30,152424,452722,1,0.03333333333333333
времена,98,1524241,4527224,0,0.0
временам,17,15242414,45272247,0,0.0
временами,19,152424143,452722478,2,0.10526315789473684
временах,4,15242416,45272243,0,0.0
временем,65,15242424,45272227,0,0.0
времени,850,1524243,4527228,7,0.00823529411764706
временная,3,152424418,452722247,0,0.0
временно,11,15242444,45272225,0,0.0
временного,8,1524244414,4527222525,3,0.375
временное,5,152424442,452722252,0,0.0
временной,16,152424443,452722251,0,0.0
временном,2,152424444,452722257,0,0.0
временные,9,152424472,452722242,0,0.0
временный,3,152424473,452722241,0,0.0
временным,9,152424474,452722247,0,0.0
временных,8,152424476,452722243,0,0.0
время,2160,15248,45277,33,0.015277777777777777
врет,7,1525,4528,1,0.14285714285714285
врешь,10,15278,45238,1,0.1
вровень,3,1541248,4554228,0,0.0
вроде,197,15422,45562,5,0.025380710659898477
врожд,5,15422,45566,0,0.0
врожденное,3,1542224442,4556622252,0,0.0
врожденной,4,1542224443,4556622251,0,0.0
врозь,8,15428,45538,0,0.0
вронский,2,15445333,45527181,2,1.0
вронского,2,154453414,455271525,2,1.0
вру,2,155,451,0,0.0
врунгелем,2,155412324,451222627,2,1.0
врунгель,12,15541238,45122268,9,0.75
врунгеля,9,15541238,45122267,7,0.7777777777777778
врут,7,1555,4518,0,0.0
вруч,2,1556,4517,0,0.0
вручает,2,1556125,4517428,0,0.0
вручают,2,1556185,4517488,0,0.0
вручена,3,1556241,4517224,0,0.0
вручения,2,15562438,45172287,0,0.0
вручены,2,1556247,4517224,0,0.0
вручил,7,155633,451786,0,0.0
вручила,2,1556331,4517864,0,0.0
вручили,3,1556333,4517868,0,0.0
вручную,4,1556458,4517218,0,0.0
врывались,2,157113358,454446878,0,0.0
вряд,89,1582,4576,3,0.033707865168539325
вс,745,15,47,44,0.05906040268456376
всадил,2,151233,474686,0,0.0
всадник,7,1512433,4746281,1,0.14285714285714285
всадника,3,15124331,47462814,0,0.0
всадникам,2,151243314,474628147,0,0.0
всадники,2,15124333,47462818,0,0.0
всадников,17,151243341,474628154,0,0.0
всасыванья,2,1515711488,4747444287,0,0.0
все,6898,152,472,178,0.025804581037982024
всеблагого,2,1521311414,4728642525,0,0.0
всеведущего,2,15212257214,47242613225,0,0.0
всевозможные,14,152142442472,472453756242,0,0.0
всевозможными,2,1521424424743,4724537562478,0,0.0
всевозможных,4,152142442476,472453756243,0,0.0
всеволод,2,15214342,47245656,2,1.0
всевышнему,2,1521774245,4724432271,2,1.0
всегда,1113,152121,472264,5,0.004492362982929021
всегдашнее,4,1521217422,4722643222,0,0.0
всегдашней,2,1521217423,4722643221,0,0.0
всегдашнею,3,1521217428,4722643228,0,0.0
всегдашние,2,1521217432,4722643282,0,0.0
всегдашним,2,1521217434,4722643287,0,0.0
всегдашняя,2,1521217488,4722643277,0,0.0
всего,971,15214,47225,5,0.005149330587023687
всей,356,1523,4721,3,0.008426966292134831
вселенная,13,152324418,472622247,9,0.6923076923076923
вселенной,130,152324443,472622251,112,0.8615384615384616
вселенную,13,152324458,472622218,8,0.6153846153846154
вселенные,2,152324472,472622242,0,0.0
вселенных,5,152324476,472622243,1,0.2
вселенская,2,1523245318,4726227147,0,0.0
вселенского,2,15232453414,47262271525,0,0.0
вселенской,5,1523245343,4726227151,0,0.0
вселенском,2,1523245344,4726227157,0,0.0
вселюбовыми,2,15238141743,47268854478,2,1.0
вселяет,2,1523825,4726728,0,0.0
всем,761,1524,4727,6,0.00788436268068331
всеми,245,15243,47278,0,0.0
всемилостивейший,2,1524334553123733,4727865788421381,2,1.0
всемилостивейшим,2,1524334553123734,4727865788421387,0,0.0
всемирно,12,15243544,47278525,0,0.0
всемирного,4,1524354414,4727852525,0,0.0
всемирное,3,152435442,472785252,0,0.0
всемирной,11,152435443,472785251,3,0.2727272727272727
всемирную,5,152435458,472785218,3,0.6
всемирные,3,152435472,472785242,0,0.0
всемирный,7,152435473,472785241,1,0.14285714285714285
всемирным,3,152435474,472785247,1,0.3333333333333333
всемирных,2,152435476,472785243,0,0.0
всемогущего,6,15244157214,47275213225,0,0.0
всемогущему,2,15244157245,47275213271,1,0.5
всемогущества,2,1524415725511,4727521327844,0,0.0
всемогуществе,3,1524415725512,4727521327842,0,0.0
